tweet_id,retweets,favorites,creation_time
784826020293709826,3058,9697,2016-10-08 18:41:19+00:00
784517518371221505,2392,8605,2016-10-07 22:15:26+00:00
784431430411685888,1203,5503,2016-10-07 16:33:21+00:00
784183165795655680,7594,19214,2016-10-07 00:06:50+00:00
784057939640352768,10503,28492,2016-10-06 15:49:14+00:00
783839966405230592,10205,28731,2016-10-06 01:23:05+00:00
783821107061198850,1856,7073,2016-10-06 00:08:09+00:00
783695101801398276,3036,10010,2016-10-05 15:47:27+00:00
783466772167098368,2113,8094,2016-10-05 00:40:09+00:00
783391753726550016,5170,16178,2016-10-04 19:42:03+00:00
783347506784731136,5231,0,2016-10-04 16:46:14+00:00
783334639985389568,11034,27857,2016-10-04 15:55:06+00:00
783085703974514689,2053,7820,2016-10-03 23:25:55+00:00
782969140009107456,6982,23155,2016-10-03 15:42:44+00:00
782747134529531904,1336,7171,2016-10-03 01:00:34+00:00
782722598790725632,5096,16504,2016-10-02 23:23:04+00:00
782598640137187329,1782,7488,2016-10-02 15:10:30+00:00
782305867769217024,5214,15912,2016-10-01 19:47:08+00:00
782021823840026624,5828,0,2016-10-01 00:58:26+00:00
781955203444699136,3182,10691,2016-09-30 20:33:43+00:00
781661882474196992,2564,10017,2016-09-30 01:08:10+00:00
781655249211752448,1071,3837,2016-09-30 00:41:48+00:00
781524693396357120,5225,19871,2016-09-29 16:03:01+00:00
781308096455073793,2417,6847,2016-09-29 01:42:20+00:00
781251288990355457,1962,8044,2016-09-28 21:56:36+00:00
781163403222056960,2615,9405,2016-09-28 16:07:23+00:00
780931614150983680,6860,20737,2016-09-28 00:46:20+00:00
780858289093574656,1897,6896,2016-09-27 19:54:58+00:00
780800785462489090,1220,5253,2016-09-27 16:06:28+00:00
780601303617732608,3161,11583,2016-09-27 02:53:48+00:00
780543529827336192,1654,6017,2016-09-26 23:04:13+00:00
780496263422808064,3474,0,2016-09-26 19:56:24+00:00
780476555013349377,105,0,2016-09-26 18:38:05+00:00
780459368902959104,1015,5069,2016-09-26 17:29:48+00:00
780192070812196864,2116,8325,2016-09-25 23:47:39+00:00
780092040432480260,2169,0,2016-09-25 17:10:10+00:00
780074436359819264,4654,11574,2016-09-25 16:00:13+00:00
779834332596887552,6598,17982,2016-09-25 00:06:08+00:00
779377524342161408,2935,8370,2016-09-23 17:50:56+00:00
779124354206535695,17209,0,2016-09-23 01:04:56+00:00
779056095788752897,4278,14114,2016-09-22 20:33:42+00:00
778990705243029504,6745,18976,2016-09-22 16:13:51+00:00
778774459159379968,9296,0,2016-09-22 01:54:34+00:00
778764940568104960,342,830,2016-09-22 01:16:45+00:00
778748913645780993,1226,6552,2016-09-22 00:13:04+00:00
778650543019483137,1409,5483,2016-09-21 17:42:10+00:00
778624900596654080,955,4394,2016-09-21 16:00:17+00:00
778408200802557953,4067,13028,2016-09-21 01:39:11+00:00
778396591732486144,11491,0,2016-09-21 00:53:04+00:00
778383385161035776,1031,5584,2016-09-21 00:00:35+00:00
778286810187399168,3117,9883,2016-09-20 17:36:50+00:00
778039087836069888,2500,8086,2016-09-20 01:12:28+00:00
778027034220126208,1511,6273,2016-09-20 00:24:34+00:00
777953400541634568,3316,0,2016-09-19 19:31:59+00:00
777885040357281792,1537,6071,2016-09-19 15:00:20+00:00
777684233540206592,2768,10746,2016-09-19 01:42:24+00:00
777641927919427584,3977,0,2016-09-18 22:54:18+00:00
777621514455814149,2366,8341,2016-09-18 21:33:11+00:00
777189768882946048,4049,13513,2016-09-17 16:57:35+00:00
